try_id,cand_id,sigma,g_n,i,delta,kappa_min,kappa_max,kappa_star,r_star,d_star,omega_star,rF,psi,phi2,lambda_star,f_star,Z_star,phi1_fixed,e_implied,phi1_calib_ok,phi1_calib_reason,econ_ok,reason,omega_gap,lam_mid,e_gap
516,7,2.5,0.07,0.035,0.06,0.02,0.45,0.325,0.12973326797683704,0.00952614368439154,0.6753334150289537,0.1075,15,0.5,0.5826104978681631,2.5869623135498863,0.991606823755864,0.5695752245606855,0.9407070195007133,TRUE,ok,TRUE,ok,0.0253334150289537,0.0826104978681631,7.070195007133906e-4
540,10,2.5,0.08,0.025,0.06,0.02,0.45,0.35000000000000003,0.13979741561574782,0.00633076200788132,0.6503481919104335,0.02,15,3,0.857778625413348,10.539487766143873,1,3.231454898300581,0.94075272460053,TRUE,ok,TRUE,ok,3.4819191043344855e-4,0.35777862541334804,7.52724600530108e-4
564,14,2.5,0.08,0.035,0.06,0.02,0.45,0.35000000000000003,0.13979741561574782,0.00633076200788132,0.6502848842903546,0.045,20,3,0.8694322669185084,11.636142894918827,1,3.2313222333556046,0.9407913480801561,TRUE,ok,TRUE,ok,2.84884290354559e-4,0.3694322669185084,7.91348080156129e-4
537,9,2.5,0.08,0.025,0.05,0.02,0.45,0.325,0.12973326797683704,0.0083353757238426,0.6754584456648113,0.057499999999999996,5,3,0.5893227427049736,2.3270939632671395,0.9360420588253866,3.03268454936333,0.9391435640987073,TRUE,ok,TRUE,ok,0.025458445664811258,0.08932274270497365,8.564359012926959e-4
492,5,2.5,0.07,0.025,0.06,0.02,0.45,0.325,0.12973326797683704,0.00952614368439154,0.6754286764657976,0.045,20,0.5,0.8448367152071128,10.091067992104884,1,0.5739426420768723,0.9408605676099493,TRUE,ok,TRUE,ok,0.025428676465797606,0.3448367152071128,8.605676099493476e-4
516,7,2.5,0.07,0.035,0.06,0.02,0.45,0.325,0.12973326797683704,0.00952614368439154,0.6753334150289537,0.095,10,1,0.5859706116197775,2.622998150004583,0.9936956703485436,1.098668994754553,0.9408617839256266,TRUE,ok,TRUE,ok,0.0253334150289537,0.08597061161977748,8.617839256266357e-4
348,1,2.35,0.08,0.025,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6851339866580604,0.08249999999999999,20,1.5,0.726121707233387,4.349774356656162,0.9999999991225907,1.636795647745021,0.9408627160058202,TRUE,ok,TRUE,ok,0.035133986658060334,0.22612170723338698,8.627160058202188e-4
552,12,2.5,0.08,0.03,0.06,0.02,0.45,0.35000000000000003,0.13979741561574782,0.00633076200788132,0.650316538100394,0.06999999999999999,5,2,0.586371926458295,2.4772641520254495,0.979542965896496,2.1287322102580224,0.9390969527119074,TRUE,ok,TRUE,ok,3.1653810039400376e-4,0.08637192645829495,9.0304728809254e-4
504,6,2.5,0.07,0.03,0.06,0.02,0.45,0.325,0.12973326797683704,0.00952614368439154,0.6753810457473757,0.1075,10,0.5,0.5553553313502388,2.314787742864168,0.9305074863712102,0.53802422771696,0.9390910616229823,TRUE,ok,TRUE,ok,0.025381045747375652,0.055355331350238846,9.089383770176651e-4
552,12,2.5,0.08,0.03,0.06,0.02,0.45,0.35000000000000003,0.13979741561574782,0.00633076200788132,0.650316538100394,0.12,10,0.5,0.5493325169318342,2.130042355672596,0.7485671471253609,0.4411558396182954,0.9390866817520406,TRUE,ok,TRUE,ok,3.1653810039400376e-4,0.04933251693183416,9.133182479593716e-4
549,11,2.5,0.08,0.03,0.05,0.02,0.45,0.325,0.12973326797683704,0.0083353757238426,0.6754167687861922,0.057499999999999996,5,0.5,0.5893227427049736,2.3270939632671395,0.9360420588253866,0.5409757671877742,0.9390827837882761,TRUE,ok,TRUE,ok,0.025416768786192145,0.08932274270497365,9.172162117238036e-4
564,14,2.5,0.08,0.035,0.06,0.02,0.45,0.35000000000000003,0.13979741561574782,0.00633076200788132,0.6502848842903546,0.057499999999999996,10,2,0.6948673059428656,3.979443020144735,0.9999998738999735,2.1723429461941124,0.9390781282365994,TRUE,ok,TRUE,ok,2.84884290354559e-4,0.1948673059428656,9.21871763400528e-4
564,14,2.5,0.08,0.035,0.06,0.02,0.45,0.35000000000000003,0.13979741561574782,0.00633076200788132,0.6502848842903546,0.08249999999999999,10,3,0.6394491625457588,3.099193340276756,0.9998558039930688,3.2303734560729938,0.9409337506364541,TRUE,ok,TRUE,ok,2.84884290354559e-4,0.1394491625457588,9.337506364541781e-4
360,2,2.35,0.08,0.03,0.06,0.02,0.45,0.32900000000000007,0.13125169104336684,0.25698157560109997,0.6838490787800549,0.12,5,0.5,0.5140609054198673,1.7355920702865888,0.48515165896875256,0.3002946701133624,0.9409951544518016,TRUE,ok,TRUE,ok,0.03384907878005483,0.014060905419867264,9.951544518016497e-4
576,16,2.5,0.08,0.04,0.06,0.02,0.45,0.35000000000000003,0.13979741561574782,0.00633076200788132,0.6502532304803152,0.057499999999999996,5,0.5,0.6014443986154445,2.637033963106942,0.9942163381159301,0.5719976661028341,0.9390041269178946,TRUE,ok,TRUE,ok,2.532304803152252e-4,0.10144439861544452,9.958730821053585e-4
